freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
66.443,-0.3281,-75.8620,-28.6194,95.5159,-101.9568,171.3778,-0.6650,-75.5186
66.843,-0.3359,-76.3599,-28.4188,94.9659,-101.7483,171.3258,-0.6812,-76.0058
67.245,-0.3439,-76.8614,-28.2183,94.4121,-101.5398,171.2735,-0.6977,-76.4962
67.650,-0.3521,-77.3665,-28.0179,93.8544,-101.3313,171.2209,-0.7146,-76.9898
68.057,-0.3605,-77.8752,-27.8178,93.2928,-101.1228,171.1680,-0.7319,-77.4866
68.467,-0.3691,-78.3874,-27.6179,92.7273,-100.9143,171.1147,-0.7496,-77.9866
68.879,-0.3779,-78.9033,-27.4182,92.1578,-100.7058,171.0611,-0.7678,-78.4899
69.294,-0.3868,-79.4229,-27.2186,91.5843,-100.4973,171.0072,-0.7864,-78.9964
69.711,-0.3960,-79.9462,-27.0193,91.0068,-100.2888,170.9529,-0.8054,-79.5062
70.131,-0.4054,-80.4731,-26.8202,90.4253,-100.0803,170.8984,-0.8250,-80.0192
70.553,-0.4150,-81.0038,-26.6213,89.8397,-99.8718,170.8435,-0.8449,-80.5355
70.977,-0.4249,-81.5382,-26.4227,89.2500,-99.6633,170.7882,-0.8654,-81.0551
71.405,-0.4349,-82.0765,-26.2243,88.6562,-99.4548,170.7327,-0.8864,-81.5780
71.834,-0.4452,-82.6185,-26.0261,88.0582,-99.2463,170.6768,-0.9079,-82.1043
72.267,-0.4558,-83.1644,-25.8281,87.4561,-99.0378,170.6205,-0.9299,-82.6338
72.702,-0.4666,-83.7141,-25.6304,86.8498,-98.8293,170.5639,-0.9524,-83.1666
73.139,-0.4776,-84.2677,-25.4329,86.2393,-98.6208,170.5070,-0.9755,-83.7028
73.580,-0.4889,-84.8252,-25.2357,85.6245,-98.4123,170.4497,-0.9991,-84.2423
74.022,-0.5004,-85.3866,-25.0387,85.0055,-98.2038,170.3921,-1.0233,-84.7851
74.468,-0.5122,-85.9520,-24.8420,84.3822,-97.9953,170.3342,-1.0481,-85.3312
